Model,Candidate,Mean RMSE,Std RMSE,Mean MAE,Mean R2,Mean Directional Accuracy,Mean Fit Seconds,Parameters
XGBoost,24,0.08370022400099975,0.008677784876809185,0.0627198232078561,-0.08935653280255221,0.5496007984031935,2.2237353801727293,"{'subsample': 0.6, 'reg_lambda': 1.0, 'n_estimators': 350, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}"
XGBoost,5,0.08384009323584227,0.006203971566703747,0.06299010297263938,-0.09892616508120122,0.5476047904191617,1.5365767002105712,"{'subsample': 1.0, 'reg_lambda': 5.0, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 1.0}"
XGBoost,26,0.08384857056459648,0.0070937874739372495,0.0629424495056973,-0.09606617131512891,0.54875249500998,1.3910490989685058,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}"
XGBoost,15,0.08409313741065308,0.009026044482852642,0.06346157589743637,-0.09978755964373351,0.550998003992016,0.6860441207885742,"{'subsample': 0.7, 'reg_lambda': 2.0, 'n_estimators': 350, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}"
XGBoost,4,0.08442254485212267,0.005403579940627322,0.06330679934792112,-0.1173427496079548,0.5476546906187625,7.218655061721802,"{'subsample': 1.0, 'reg_lambda': 2.0, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 1.0}"
XGBoost,21,0.08454229831986841,0.008358248300352452,0.06301065005820625,-0.11334266098750775,0.5485528942115769,2.6810999393463133,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 0.6}"
XGBoost,17,0.08491281600899396,0.009313623166120987,0.0636928979869202,-0.12133401826138539,0.5412175648702595,0.6113788604736328,"{'subsample': 0.9, 'reg_lambda': 0.5, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6}"
XGBoost,6,0.08510742280278971,0.006035199716482882,0.06355803903200699,-0.13286647955705577,0.5480538922155688,5.281244087219238,"{'subsample': 0.9, 'reg_lambda': 1.0, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.05, 'colsample_bytree': 1.0}"
XGBoost,12,0.08543301556796516,0.008462559736052862,0.06401903386536753,-0.13573004921711468,0.5474550898203592,1.8467563152313233,"{'subsample': 0.9, 'reg_lambda': 5.0, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.05, 'colsample_bytree': 0.9}"
XGBoost,11,0.08543385416982806,0.009335360358474432,0.06417713918960125,-0.13410412230656119,0.5442115768463074,0.8634739875793457,"{'subsample': 1.0, 'reg_lambda': 2.0, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.05, 'colsample_bytree': 0.7}"
XGBoost,3,0.08560088880800053,0.00840856012904121,0.06403651916432158,-0.1420404572570805,0.5500998003992017,4.072172927856445,"{'subsample': 0.6, 'reg_lambda': 0.5, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 0.6}"
XGBoost,19,0.08586276890721144,0.009823264344252163,0.06452064228403569,-0.14547092285339716,0.5454590818363274,1.2465858936309815,"{'subsample': 0.7, 'reg_lambda': 0.5, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}"
XGBoost,16,0.08596859760011215,0.007191065546722613,0.06420169785807242,-0.1537893062326213,0.544311377245509,1.969033432006836,"{'subsample': 0.9, 'reg_lambda': 0.5, 'n_estimators': 250, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.8}"
XGBoost,28,0.08612152941308653,0.007476187065602426,0.06430845876152372,-0.15709706515255686,0.5454590818363274,4.9488139152526855,"{'subsample': 0.6, 'reg_lambda': 5.0, 'n_estimators': 500, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 1.0}"
XGBoost,13,0.08624088670449685,0.007129699319199954,0.0647729276513804,-0.16070315250437436,0.5425648702594811,0.9008765697479248,"{'subsample': 0.8, 'reg_lambda': 1.0, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.05, 'colsample_bytree': 1.0}"
XGBoost,22,0.08716130717325217,0.010345870737769592,0.06536873252303478,-0.18024304962885931,0.5488023952095809,1.8519456386566162,"{'subsample': 0.6, 'reg_lambda': 5.0, 'n_estimators': 350, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.8}"
XGBoost,23,0.08723188456708035,0.009365706248387666,0.06571542091208535,-0.18464795171685325,0.5406686626746506,1.0442820072174073,"{'subsample': 0.6, 'reg_lambda': 5.0, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.05, 'colsample_bytree': 0.8}"
XGBoost,8,0.0875089097230189,0.008295483453820928,0.06559605155110654,-0.19371014041279583,0.5487524950099801,0.7818239688873291,"{'subsample': 0.7, 'reg_lambda': 1.0, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.8}"
XGBoost,29,0.08803774191859268,0.006710392707677722,0.0659078071543896,-0.21211971621244946,0.5432135728542915,1.3022595405578614,"{'subsample': 1.0, 'reg_lambda': 0.5, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.0, 'colsample_bytree': 1.0}"
XGBoost,9,0.09060746435371055,0.011487055206937404,0.06889485383826006,-0.27608797870735524,0.5287425149700599,5.645108890533447,"{'subsample': 0.6, 'reg_lambda': 1.0, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.6}"
XGBoost,27,0.09146139283298091,0.010722608436352067,0.06925521713352889,-0.30226727470500275,0.5399201596806387,1.0550050735473633,"{'subsample': 0.7, 'reg_lambda': 2.0, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.6}"
XGBoost,30,0.09346325236539274,0.005042233162543377,0.0703731461453073,-0.3777255865276598,0.5351796407185628,13.836354112625122,"{'subsample': 1.0, 'reg_lambda': 0.5, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.9}"
XGBoost,10,0.09467001050575781,0.012084116522894353,0.07167937862964313,-0.39773868001956714,0.5328343313373254,5.1109363555908205,"{'subsample': 0.7, 'reg_lambda': 1.0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.9}"
