Model,Candidate,Mean RMSE,Std RMSE,Mean MAE,Mean R2,Mean Directional Accuracy,Mean Fit Seconds,Parameters
XGBoost,25,0.059177708930121496,0.007045457738235452,0.043829202953643856,-0.04244552211752219,0.5424151696606787,0.7140907287597656,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}"
XGBoost,1,0.05936520962881048,0.007086890343468178,0.04399692860935088,-0.049424395664866894,0.5359281437125748,0.7196675777435303,"{'subsample': 0.9, 'reg_lambda': 5.0, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}"
XGBoost,2,0.05987755620126793,0.00718600996439974,0.04438177397107106,-0.06921549486538656,0.542315369261477,0.6437741279602051,"{'subsample': 0.6, 'reg_lambda': 5.0, 'n_estimators': 250, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.6}"
XGBoost,14,0.06022529553381602,0.007580221955238003,0.04479256248021154,-0.0818535658758609,0.5403193612774452,0.41328887939453124,"{'subsample': 1.0, 'reg_lambda': 0.5, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 1.0}"
XGBoost,18,0.060241635071706344,0.007193635083163441,0.04468591810008988,-0.08432918125430358,0.535379241516966,0.7550308227539062,"{'subsample': 0.6, 'reg_lambda': 2.0, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.7}"
XGBoost,7,0.06064744929232211,0.007020348147051302,0.044935181881762834,-0.09946205421249243,0.53687624750499,1.523019790649414,"{'subsample': 0.6, 'reg_lambda': 0.5, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 0.9}"
XGBoost,20,0.06100195414686449,0.007937944942641911,0.04541615167268272,-0.11433141567009833,0.5394211576846307,1.2359998226165771,"{'subsample': 0.6, 'reg_lambda': 0.5, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}"
XGBoost,24,0.06102097126339558,0.007923231548609895,0.045429989069413444,-0.11511127766554183,0.5399700598802395,1.0176161766052245,"{'subsample': 0.6, 'reg_lambda': 1.0, 'n_estimators': 350, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}"
XGBoost,26,0.06110636420804553,0.007809789791891613,0.04551135741992395,-0.12079140850725781,0.5360279441117765,1.2175079822540282,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}"
XGBoost,15,0.06125896775521188,0.007646692223364029,0.04558356817553944,-0.1243262671506699,0.5348303393213574,0.6426809310913086,"{'subsample': 0.7, 'reg_lambda': 2.0, 'n_estimators': 350, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}"
